ProlificID,Participant,Gender,Age,SpanL1,LangSpoken,Lang_0.5,Lang_6.12,Lang_13.18,Eng_classes,Eng_classes_time,Eng_classes_amount,Caregivers_speak_Eng,Eng_travel,Eng_country,Word,AssociateNumber,Orig_Response,Response,Response_Class,Relation_Type,Confidence,Comments,List,word_ID,translation,Block
5e58b3e415b8d40b5e1dabf1,sp196,Male,21,Yes,english and spanish ,spanish,english,english,No,,,Yes,Yes,united states ,alcohol,2,sanar,sanar,verb,,,,B,r2_sp_b1,alcohol,Span
5fc062185c4bc35066e71d5d,sp197,Male,22,Yes,english and spanish,spanish,english and spanish,english and spanish,No,,,Yes,No,,alcohol,2,borracho,borracho,adjective,,,,B,r2_sp_b1,alcohol,Span
5fe3e85812f16c13abed7294,sp198,Male,20,Yes,"English, Spanish",Spanish,"Spanish, English","Spanish, English",Yes,"K-8, highschool, college",15,Yes,Yes,"United States, 20 years",alcohol,2,borracho,borracho,adjective,,,,B,r2_sp_b1,alcohol,Span
59d5c894c732930001d88b5e,sp199,Male,28,Yes,"Spanish, English, Italian",Spanish,Spanish/English,Spanish/English,Yes,"Elementary, Middle, and High School",12+ years,No,Yes,The United Kingdom for a week,alcohol,2,substancia,sustancia,noun,,,,B,r2_sp_b1,alcohol,Span
5f1b95a56ab2853a4ddf6b25,sp150,Male,26,Yes,Spanish and English,Spanish,Spanish,Spanish,No,,,No,Yes,USA for about a year.,alcohol,3,hediondo,hediondo,adjective,,,,B,r2_sp_b1,alcohol,Span
60b9b0f2400b752136bc6e76,sp151,Female,32,Yes,English and Spanish,spanish,spanish,spanish,Yes,high school,5 years,No,Yes,"United States, I live here now",alcohol,3,vodka,vodka,noun,,,,B,r2_sp_b1,alcohol,Span
Demig0503,sp152,Female,26,Yes,English Spanish ,English Spanish ,English Spanish,English Spanish,Yes,High school college,2 semesters,Yes,No,,alcohol,3,Margarita,margarita,noun,,,,B,r2_sp_b1,alcohol,Span
606f9ee3ab30d6b83434aaaf,sp153,Male,26,Yes,"English, Spanish",Spanish,Spanish,Spanish,Yes,"Middle, high school, college",10 years,Yes,No,,alcohol,3,Fiesta,fiesta,noun,,,,B,r2_sp_b1,alcohol,Span
5f86254b9b191d16bf6ac852,sp154,Male,19,Yes,"English, Spanish ",2,,,Yes,high school,2 semesters,Yes,Yes,"Nevada, 10 years",alcohol,3,poco,poco,adjective,,,,B,r2_sp_b1,alcohol,Span
60bc04f9289aaf8721d1af04,sp155,Male,23,Yes,"English, Spanish, and French.",Spanish,Spanish and English,Spanish and English,No,,,No,No,,alcohol,3,fuerte,fuerte,adjective,,,,B,r2_sp_b1,alcohol,Span
60a3f90d9e2e29f6d67ccb7c,sp156,Female,28,Yes,"spanish, English, little French",spanish/english,spanish/english,spanish/english,Yes,elementary,2,No,No,,alcohol,3,college,college,noun,,,Eng,B,r2_sp_b1,alcohol,Span
5bc58e485c25130001f36ce9,sp157,Female,31,Yes,"Spanish, English",Spanish,Spanish,Spanish,Yes,elementary school throughout college,96 semesters/16 years,No,Yes,"USA... I still live here, so almost 10 years",alcohol,3,vodka,vodka,noun,,,,B,r2_sp_b1,alcohol,Span
6024acb4dcc5d61d2ace8d7e,sp158,Female,24,Yes,"English, Spanish",Spanish,"English, Spanish","English, Spanish",No,,,Yes,No,,alcohol,3,bailar,bailar,verb,,,,B,r2_sp_b1,alcohol,Span
607e642f86ef6414cacd65c9,sp159,Female,19,Yes,English and Spanish,Spanish,Spanish,Spanish,Yes,"Elementary, Middle School, High School, College",14 years,Yes,Yes,United States; I live here,alcohol,3,bebida,bebida,noun,,,,B,r2_sp_b1,alcohol,Span
