"","source","target","weight"
"889","cerveza","maas",1
"890","cerveza","malo",2
"891","cerveza","medalla",1
"892","cerveza","michelada",1
"893","cerveza","modelo",2
"894","cerveza","padre",2
"895","cerveza","papa",1
"896","cerveza","pinta",1
"897","cerveza","querer",1
"898","cerveza","refrescante",1
"899","cerveza","refrigerador",1
"900","cerveza","relajar",1
"901","cerveza","reunioon",1
"902","cerveza","rico",1
"903","cerveza","salud",1
"904","cerveza","sucio",1
"905","cerveza","tequila",5
"906","cerveza","tienda",1
"907","cerveza","tomar",3
"908","cerveza","trago",2
"909","cerveza","vaso",1
"910","cerveza","verano",1
"911","cerveza","verde",2
"912","cerveza","victoria",1
"913","cerveza","vino",3
"914","cocinar","aceite",4
"915","cocinar","almorzar",1
"916","cocinar","almuerzo",3
"917","cocinar","amor",1
"918","cocinar","aroma",1
"919","cocinar","arroz",2
"920","cocinar","azuucar",1
"921","cocinar","beber",2
"922","cocinar","bien",1
"923","cocinar","bueno",1
"924","cocinar","caliente",3
"925","cocinar","carne",5
"926","cocinar","casa",1
"927","cocinar","cena",2
"928","cocinar","chef",1
"929","cocinar","cocer",1
"930","cocinar","cocina",7
"931","cocinar","cocinero",2
"932","cocinar","comer",5
"933","cocinar","comida",31
"934","cocinar","condimento",2
"935","cocinar","cuchara",2
"936","cocinar","cuchillo",1
"937","cocinar","dedicacioon",1
"938","cocinar","delicioso",2
"939","cocinar","desayuno",1
"940","cocinar","disfrutar",1
"941","cocinar","estoomago",1
"942","cocinar","estufa",4
"943","cocinar","familia",1
"944","cocinar","festejo",1
"945","cocinar","fresco",1
"946","cocinar","fuego",1
"947","cocinar","guisar",1
"948","cocinar","hacer",1
"949","cocinar","hambre",1
"950","cocinar","huevo",2
"951","cocinar","ingrediente",3
"952","cocinar","madre",1
"953","cocinar","mamaa",3
"954","cocinar","manzana",1
"955","cocinar","microondas",1
"956","cocinar","navaja",1
"957","cocinar","olla",1
"958","cocinar","olor",1
"959","cocinar","ordenar",1
"960","cocinar","plato",3
"961","cocinar","pollo",1
"962","cocinar","receta",2
"963","cocinar","relleno",1
"964","cocinar","restaurante",2
"965","cocinar","rico",1
"966","cocinar","ruido",1
"967","cocinar","sal",1
"968","cocinar","sarteen",2
"969","cocinar","sazoon",1
"970","cocinar","sopa",1
"971","cocinar","taco",1
"972","cocinar","tiempo",2
"973","cocinar","trabajo",1
"974","cocinar","utensilio",1
"975","cocinar","uutil",1
"976","cocinar","vegetal",2
"977","cocinar","verdura",1
"978","cuadro","arte",10
"979","cuadro","artista",2
"980","cuadro","belleza",1
"981","cuadro","bonito",1
"982","cuadro","canto",1
"983","cuadro","caro",1
"984","cuadro","casa",1
"985","cuadro","certificado",1
"986","cuadro","ciirculo",4
"987","cuadro","colgar",2
"988","cuadro","color",1
"989","cuadro","cuadra",1
"990","cuadro","cuadrado",3
"991","cuadro","cuadrilaatero",1
"992","cuadro","cuarto",1
"993","cuadro","cuatro",1
"994","cuadro","cubo",3
"995","cuadro","decoracioon",3
"996","cuadro","decorar",1
"997","cuadro","dibujo",1
"998","cuadro","dinero",1
"999","cuadro","diploma",1
"1000","cuadro","esquina",1
"1001","cuadro","familia",4
"1002","cuadro","figura",1
"1003","cuadro","forma",1
"1004","cuadro","foto",23
"1005","cuadro","fotografiia",5
"1006","cuadro","fuego",1
"1007","cuadro","gato",1
"1008","cuadro","geometriia",1
"1009","cuadro","graduacioon",1
"1010","cuadro","imagen",2
"1011","cuadro","lindo",1
"1012","cuadro","madera",2
"1013","cuadro","marco",1
"1014","cuadro","matemaatica",2
"1015","cuadro","memoria",2
"1016","cuadro","metal",1
"1017","cuadro","mona lisa",1
"1018","cuadro","museo",1
"1019","cuadro","naturaleza",1
"1020","cuadro","nino",1
"1021","cuadro","nota",1
"1022","cuadro","obra",1
"1023","cuadro","papel",1
"1024","cuadro","para legos",1
"1025","cuadro","pared",6
"1026","cuadro","pasado",1
"1027","cuadro","pincel",1
"1028","cuadro","pintura",16
"1029","cuadro","piso",1
"1030","cuadro","rectaangulo",3
"1031","cuadro","rectangular",1
"1032","cuadro","retrato",1
"1033","cuadro","sala",3
"1034","cuadro","separado",1
